scan1	scan2	scan3	scan4
3370.3489	5282.9063	9481.6045	13763.8926
655.8511	1024.9657	1757.1959	2859.8298
358.3750	492.1837	843.8979	1486.1111
711.6929	1116.1387	1862.7042	2992.1929
544.1282	861.8530	1517.8363	2369.4919
521.3721	787.8070	1434.4324	2087.7969
2015.7719	3159.7517	5508.2617	8418.8721
842.6713	1379.3405	2336.6311	3877.3713
348.4348	544.6582	888.5422	1430.5773
585.4080	907.3065	1586.6451	2426.8516
2444.3538	3915.9866	7155.3423	11144.7480
2882.0469	4364.8525	7762.5234	11650.1689
337.4095	532.7463	889.0073	1339.8785
1662.0134	2621.3826	4619.1543	7224.6309
1367.0537	2025.9110	3481.2876	5354.8838
766.1157	1169.0690	2144.6846	3341.1904
2811.7114	4368.1621	7884.3672	11785.6455
254.0000	379.9091	718.8889	1105.3334
2839.9666	4332.7046	7558.6914	10576.6875
595.1031	918.7629	1541.6689	2527.8623
3343.1689	5298.6509	9300.2637	14641.5313
994.6165	1552.3944	2808.3496	4386.2642
259.0000	415.0000	666.0000	1095.0000
3930.0066	6304.2617	11398.6240	17309.8711
3260.1006	5006.2886	8929.2822	13552.0469
515.7246	822.7518	1380.8445	2138.8999
993.4228	1646.4027	2893.6443	4488.5166
318.0000	496.0000	903.4286	1347.6923
2656.9460	4245.8696	7492.0806	11674.7871
420.7748	596.4957	1074.0145	1773.1261
1009.1006	1541.5771	2670.2905	4261.8047
495.5161	746.7846	1332.9752	2151.1846
4270.1206	6794.2012	12006.5303	17199.4492
376.1667	585.4286	960.0000	1636.2222
970.7482	1116.8907	2005.3170	3102.9268
2910.8389	4540.2617	8059.6377	12258.2012
826.8378	1263.1677	2207.6174	3248.4656
694.9379	1143.9586	1972.2275	3054.6558
2586.5510	4015.0608	7093.3154	11104.7100
810.0544	1331.6531	2266.6138	3675.7104
462.0000	525.0000	882.0000	1344.0000
2765.3423	4334.3022	7691.9331	12028.1211
342.3846	449.4030	844.4058	1321.8611
1203.3624	1858.1301	3265.1836	4690.8047
395.5263	553.1111	979.4054	1651.0385
831.8926	1255.4027	2154.5637	3070.5396
2929.1353	4812.2012	8540.5703	14149.6309
351.0000	419.0000	901.0000	1431.0000
1021.2684	1634.6959	2864.6438	4588.5835
470.9754	752.8644	1282.9083	2028.7064
495.7500	730.7273	1248.2791	1923.1200
589.0629	914.6622	1623.3197	2582.6919
951.5000	1518.8657	2656.3826	4247.3042
437.5625	637.4750	1218.0465	1774.2646
366.0000	634.7143	1168.8334	1770.0000
640.1141	1008.1476	1760.2483	2726.3757
338.9655	485.6000	885.5122	1407.8462
363.0000	481.0000	842.0000	1472.0000
1564.0537	2453.7786	4301.8589	6411.4326
3129.1946	4738.8994	8113.3691	12871.0205
312.1667	413.1000	758.3750	1165.3334
2336.3401	3758.1274	6728.9868	10573.6045
301.0000	457.6667	804.0000	1126.7500
708.0428	1078.3082	1945.8759	2982.6956
1701.8926	2594.4258	4575.2026	6956.1470
924.6148	1431.2133	2565.6160	4400.7651
360.5454	554.8387	999.6250	1575.4359
416.6419	585.4295	1106.3784	1643.6497
983.1745	1590.0940	2782.1074	4087.0972
1282.3423	1984.9329	3600.0806	5394.5908
949.3493	1555.1013	2652.2366	4191.7090
408.5000	605.3636	1067.4000	1584.7273
541.5608	861.3605	1504.1477	2378.8027
940.5582	1434.4586	2501.7480	4326.4692
2596.8367	4093.9934	7204.0205	11416.7773
2338.8828	3647.7383	6493.1826	10575.4131
296.0000	351.0000	720.0000	931.0000
562.3986	883.6443	1607.7397	2487.5547
3815.8657	6111.0137	10774.8457	16401.7539
704.2377	1142.3617	1964.5000	3280.9758
725.9097	1118.5167	2006.4595	3383.3306
621.5514	988.7422	1634.1077	2762.8000
568.0000	794.8261	1442.8611	2253.9412
1103.1074	1714.1879	3010.8523	4928.6777
286.0000	394.0000	656.0000	1086.0000
1253.4296	2001.5234	3584.3513	5610.5361
930.7297	1594.6190	2623.5642	4004.5510
400.9583	645.0389	1072.1100	1675.4117
3590.7920	5389.6177	9477.3691	14936.7705
592.2280	917.4697	1695.0300	2643.4131
832.5486	1351.8661	2229.8347	3850.9614
754.7778	1219.2391	2126.1279	3981.4819
539.8812	834.5631	1385.9913	2204.6563
347.0000	544.0000	1017.0000	1492.0000
2150.2751	3200.5840	5767.0400	8120.7534
500.3333	674.0555	1182.3636	1896.1765
358.5000	549.2000	891.8333	1413.0731
344.6956	480.4255	945.4815	1404.7407
451.0000	684.0000	1200.0000	1830.0000
1259.3784	1931.5973	3423.1946	5037.6714
481.4286	647.6000	1245.4445	1741.2500
544.2667	728.0714	1439.0000	2024.4193
2802.5974	4441.5640	7734.8188	10830.8545
602.9792	945.4615	1674.2411	2756.7920
725.2819	1154.9597	2016.1544	3202.3020
5461.9580	9044.8252	16020.5635	22280.4102
438.0000	566.0000	1223.0000	1354.0000
3047.6777	4763.7974	8216.7969	13434.1787
535.9084	848.5643	1452.2662	2408.5557
340.5344	515.5857	865.5268	1360.0000
6439.1143	10284.3555	18261.8184	27860.0137
2351.6511	3655.8726	6583.7163	9904.2480
388.0000	518.1818	925.2000	1464.9445
